aa13,wendy hiller,innocent,flower girl,Eliza,AAN
aa13,wilfrid lawson,sidekick,Eliza's father,Dolittle,
aa13,marie lohr,,,Mrs.Higgins,
aa13,david tree,,fop,Freddie Eynsford-Hill,
aa13,esme percy,,,,
aa13,everley gregg,,,,
aa13,o.b. clarence,,,,
aa13,jean cadell,,,,
aa14,ray milland,,schoolboy,,
aa14,ellen drew,,teacher,,
aa14,guy middleton,,schoolboy,,
aa16,margaret lockwood,,bride,,
aa16,derek farr,,bridegroom,,
aa16,a.e. matthews,,,,
aa16,marjorie fielding,,mother,,
aa16,athene seyler,,,,
aa16,peggy ashcroft,,,,
aa16,margaretta scott,,,,
aa16,bernard miles,,,,
aa29,michael redgrave,,bachelor,Earnest,
aa29,michael denison,,bachelor,,
aa29,joan greenwood,,,,
aa29,miles malleson,,,,
aa29,walter hudd,,,,
aa37,dirk bogarde,,,,
aa37,olivia dehavilland,,,,
aa37,paul massie,,,,
aa37,wilfrid hyde white,,,,
aa37,robert morley,,,,
aa37,anthony dawson,,,,
aa37,richard wattis,,,,
aa37,millicent martin,,,,
aa38,peter sellers,,poor Indian doctor,,
aa38,sophia loren,,"millionairess, falls for doctor",,
aa38,dennis price,,,,
aa38,gary raymond,,,,
aa38,alfie bass,,,,
aa41,richard burton,,delayed passenger,,
aa41,elizabeth taylor,,delayed passenger,,
aa41,maggie smith,,,,
aa41,elsa martinelli,,,,
aa41,dennis price,,,,
aa41,richard wattis,,,,
aa41,robert coote,,,,
aa41,michael hodern,,,,
aab10,michael palin,,podiatrist,,
aab10,maggie smith,,ambitious wife,,
aab10,denholm elliott,,,,
aal6,carol burnett,,wife 1,,
aal6,sandy dennis,,wife 2,,
aal6,rita moreno,,,,
aal6,jack weston,,husband 3,,
aal6,bess armstrong,,wife 3,,
aal10,michael caine,villain,conceited movie star,,
aal10,michelle pfeiffer,savior,sympathetic movie star,,
aal10,lillian gish,,mother,,
aal10,saul rubinek,,cold director,,
aal10,lois chiles,,actor's suspicious wife,,
aal20,molly ringwald,,bride,Betsy,
aal20,madeleine kahn,,once-radical mother of the bride,,
aal20,joe pesci,,sleazy uncle,,
aal20,catherine ohara,,aunt,,
aal20,burt young,,,,
aan10,brooke adams,,single mother,,
aan10,donovan leitch,,cable TV installer,,
aan14,madonna,,witch,Elspeth,
aan14,jennifer beals,,,,
aan14,antonio banderas,,latin tough guy,,
aan14,bruce willis,,friend,,
aar10,p.j. sales,,leader,,
aar10,vincent vanpatten,,,,
aar10,clint howard,,,,
aar10,mary woronov,,frustrated principal,,
aar20,andy kaufman,,amorous robot,,
aar20,bernadette peters,,amorous robot,,
aar20,randy quaid,,,,
aar20,melanie mayron,,,,
aas10,craig wasson,,tough bosun,Palmer,
aas10,kay lenz,,"chief, protects her dog",Gillian,
aas10,sigrid thornton,victim,"brave cadet, killed on space walk",Isaacs,
aba10,vittorio desica,,,,
abd4,richard boone,,,,
abd4,theodore bikel,,,,
abf10,zoe tamerlis,,"mute, raped twice, revenges",,
abf10,steve singer,,,,
abf10,jack thibeau,,,,
abf20,christopher walken,,drug lord,,
abf25,harvey keitel,,cop gone awry,,
abf26,madonna,,star,,
abf26,harvey keitel,,"director, confused",,
abf27,meg tilly,,seductive stepmother,,
abi10,faye dunaway,love interest,diplomat's wife,,
abi10,klaus maria brandauer,,romantic wounded baron,,
abi10,john nettleton,scientist,doctor,,
abi20,charlotte gainsbourg,,incestuous older sister,,
abl10,sophia loren,,freeliving daughter,,
abl10,vittorio desica,,accomplished pickpocket father,,
abl10,marcello mastroianni,,,,
abn1,melanie griffith,,,,
abp10,clara kimball young,,"must choose among love, security,career",,
abp10,pauline starke,,,,
abp10,milton sills,,,,
abp50,basil sidney,,"jealous doctor, cured of blindness",,
abp50,james mason,,,,
abp50,enid stamptaylor,suspect,wife,,
abr1,albert brooks,,"documentary movie director, frustrated, burns All-American house down",,
abr1,frances lee mccain,"innocent, victim",All-American mother,Jeanette Yeager,
abr1,charles grodin,,,,
abr2,albert brooks,,,,
abr2,kathryn harrold,,,,
abr2,bruno kirby,,,,
abr2,james l. brooks,,,,
abr2,meadowlark lemon,,,,
abr2,george kennedy,,,,
abr2,super dave osborne,,sporting goods salesman,,
abr3,albert brooks,,"ad exec, escapes job in RV",,
abr3,julie hagerty,victim,"wife, loses nest egg",,
abr4,albert brooks,victim,"yuppie adman, died untimely",,
abr4,lee grant,,heavenly judge,,
abr4,meryl streep,innocent,dead perfect mother,,
abr4,rip torn,,defense lawyer,,
abr4,shirley maclaine,cameo role,believer,,
abr7,debbie reynolds,innocent,befuddled mother,,
abr9,jennifer tilly,,ditzy movie starlet,,
abu10,mary tyler moore,,disatisfied houswife,,
abu10,ted danson,,,,
abu10,christine lahti,,lesbian love,,
abu10,sam waterston,,"older husband, dies",,
abu10,salome jens,,,,
abw40,constance cummings,,bride,,
abw40,leslie banks,,husband,,
abw40,robert newton,,,,
abw40,googie withers,,,,
abw40,frank pettingell,,,,
abz10,jack palance,villain,,,
abz10,richard roundtree,villain,,,
abz10,ann turkel,,,,
abz10,bo svenson,,,,
abz10,rod steiger,,,,
ac5,john barrymore,villain,rogue,Don Juan,
ac5,mary astor,,,Lucretia Borgia,
ac5,warner oland,,,,
ac5,estelle taylor,,,,
ac5,myrna loy,,,,
ac5,willard louis,,,,
ac6,john barrymore,hero,"rogue, befriends king",Francois Villon,
ac6,conrad veidt,ruler,king,Louis XI,
ac6,marceline day,love interest,,,
ac6,mack swain,,,,
ac6,slim summerville,,,,
ac7,anna may wong,villain,villain,,
ac7,sojin,,,,
ac8,al jolson,hero,"boy singer, cantor's son",,
ac8,may mcavoy,,,,
ac8,warner oland,,,,
ac8,eugenie besserer,,,,
ac8,otto lederer,,,,
ac9,conrad nagel,,Napoleons younger brother,,
ac9,dolores costello,,Baltimore beauty,,
ac9,john miljan,,,,
ac9,betty blythe,,princess,Fredericka von Wurttemberg,
ac9,paul panzer,,,,
ac20,edmund lowe,,"German, impersonates British nobleman",,
ac20,valerie hobson,,nobleman's wife,,
ac20,henry mollison,,,,
ac20,lumsden hare,,,,
ac20,spring byington,,,,
ac20,dwight frye,,,,
aca40,leslie banks,hero,"villager, resists paratroopers",,
aca40,elizabeth allen,,,,
aca40,frank lawton,,,,
aca40,basil sidney,,,,
aca40,valerie taylor,,,,
aca40,mervyn johns,,,,
aca40,edward rigby,,,,
aca40,marie lohr,,,,
aca40,c.v. france,,,,
aca40,david farrar,,,,
aca50,roland culver,victim,"psychiatrist, killed",,
aca50,mary merrall,,,,
aca50,miles malleson,,,,
aca50,sally ann howes,,,,
aca50,frederick valk,,,,
aca50,googie withers,,,,
aca50,ralph michael,,,,
aca50,basil radford,,,,
aca50,naunton wayne,,,,
aca50,michael redgrave,,schizophrenic ventriloquist,,
aca50,hartley power,,rival,,
aca60,derek bond,,"schoolmaster, joins entertainer",,
aca60,cedric hardwicke,,"mean uncle, usurer",,
aca60,alfred drayton,,"helper, adopted, turns out to be cousin",,
aca60,sybil thorndyke,,deceived mother,,
aca60,stanley holloway,,traveling entertainer,,
aca60,sally ann howes,,"innocent sister, being bartered",Kathy,
aca60,jill balcon,,"love, forced to marry uncle to save father",,
aca60,cyril fletcher,,rich wimp,,
aca60,fay compton,,aunt,,
acj110,myron mccormick,,piano player,,
acj111,robert loggia,,ingratiating bookie,,
acj111,doris dowling,,money-hungry girlfriend,,
acj112,r.g. armstrong,,police captain,,
acj112,rod cameron,,clip's owner,,
acj113,rip torn,,"falsely convicted, takes revenge",,
acj113,frank sully,,cop,,
acj113,bert freed,,"district attorney, concedes",Cooper,
acj114,gia scala,,mistress,,
acj114,russell collins,,detective,,
acj115,peter falk,,"racketeer, fears death",,
acj115,paul hartman,,"devoted valet, shoots boss",,
acj117,jo vanfleet,,"boozy wife, shows up",,
acj118,paul ford,,"professor, murder suspect",,
acj118,billy gray,,cheating student,,
acj119,anne francis,innocent,bored wife,,
acj121,robert redford,,"burglar, kills cop, clerk",,
acj121,russell collins,,"pharmacist, makes mistake in prescription",,
acj121,bert remsen,,cop with cough,,
acj122,barbara baxley,,lonely assistamt,,
acj122,robert loggia,,"petty crook, blackmails",,
acj123,charles bronson,,escaped convict,,
acj124,mark miller,,unfaithful husband,,
acj124,vivienne segal,,"rich wife, poisoned",,
acj125,anne helm,,beatnik,,
acj125,wayne rogers,,"older guy, deceives, kills",,
acj126,brian keith,,"protective forest ranger, blackmailed",,
acj126,patricia breslin,,wife,,
acj127,robert sterling,,rescuer,,
acj127,billy mumy,,saved son,,
acj127,macdonald carey,,father,,
acj128,michael wilding,innocent,British tourist,,
acj128,anna lee,innocent,Sav,observant wife,
acj128,frank albertson,"agent, villain",crooked local cop,Batterman,
act10,marshall thompson,,"scientist, threatened",,
acu15,laura dern,,loves Dwight,Annie,
acu15,diane ladd,,"fiancee, disappears",,
acu23,gwyneth paltrow,,"cold, beautiful duchess, disrobed",Estella,
acu23,anne bancroft,,,,
acx10,harry dean stanton,,sociopath,,
acx10,emilio estevez,,sociopath,,
acx10,vonetta mcgee,,,Marlene,
acy10,pierre brasseur,,"star, lover, to play Romeo",,
acy10,anouk aimee,,"stand-in starlet, love, to play Julia",,
acy10,serge reggiani,,"studio carpenter, lover",,
acy20,curt jurgens,,doctor,,
acy20,folco lulli,,demented,,
acy38,jean gabin,,"judge, kidnapped",,
acy38,sophia loren,,gangster's widow,,
adb21,ivor novello,,composer,,
adb21,mary clare,,,,
adb21,benita hume,,,,
adl5,michael nouri,,,,
adl5,lilia skala,,,,
adl5,belinda bauer,,,,
adl6,kim basinger,love interest,Vic,"art gallery assistant, divorcee, falls",
adl6,mickey rourke,love interest,"weird enigmatic arbitrageur, plays with sex, emotions",John,
adl6,karen young,sidekick,collegue,,
adl10,michael douglas,,"married lawyer, scared, overwhelmed",,
adl10,glenn close,vamp,"determined vamp, book editor",,AAN
adl10,anne archer,,beautiful homebody wife,,
adl10,ellen hamilton latzen,,daughter,,
adl10,stuart pankin,,clowning pal,,
adl16,demi moore,love interest,"beautiful wife, agrees",Diane Murphy,
adl16,robert redford,villain,"billionaire, desires Diane, proposes 1MDoll for a night, keeps pursuing Diane",John Gage,
adl20,jeremy irons,,pedophile stepfather,Humbert Humbert,
adl20,dominique swain,love interest,sexy teen,Lolita,
adl20,melanie griffith,,"annoying mother, dies",Charlotte Haze,
adl20,frank langella,,"sinister, lures Lolita away, chased",Clare Quilty,
adl25,richard gere,,"business man, husband",Edward Sumner,
adl25,diane lane,,"beautiful wife, meets bookdealer in city",Connie Sumner,
adr10,richard todd,,hippie professor,"Timothy Leary, assassinated",
adr10,james macarthur,,"ex-boyfriend, publisher, revenges",,
adt9,merle oberon,,,,
adt9,franchot tone,,,,
adt9,elisha cook~jr.,,,,
adt12,veronica lake,,predatory lady rancher,,
adt12,preston foster,,,,
adt12,charles ruggles,,,,
adt12,donald crisp,,,,
adt12,lloyd bridges,,,,
adt18,vincent price,,"scarred museum owner, sculptor",,
adt18,frank lovejoy,,,,
adt18,phyllis kirk,,tourist,,
adt18,carolyn jones,,,,
adv12,chuck norris,,,,
adv14,tommy lee jones,,,,
adv15,tommy lee jones,,"renegade CIA agent, takes over battleship",Strannix,
adv17,julianne moore,,,,
adv22,michael douglas,suspect,revenging husband,Steve Tayylor,
adv22,gwyneth paltrow,victim,"glamorous, straying rich wife",Emily,
adv22,sarita choudhury,,Emily's friend,,
adw17,wallace beery,ruler,king,Richard the Lionhearted,
adw17,alan hale,sidekick,rogue,Little John,
adw22,douglas fairbanks~sr,,"prince, prisoner",,
adw22,walter abel,,D'Artagan,,
adw22,margot grahame,,Milady,,
adw22,miles mander,ruler,king,,
adw27,gloria swanson,,,,
adw27,tom moore,,inventor boyfriend,,
adw27,frank morgan,,rich couturier,,
adw27,lilyan tashman,,,,
adw27,ian keith,,,,
adw35,shirley temple,,orphan,,
adw35,jean hersholt,,,,
adw35,arthur treacher,,crusty grandfather,,
adw35,helen westley,,,,
adw35,mary nash,,,,
adw35,sidney blackmer,,,,
adw35,christian rub,,,,
adw40,shirley temple,,child radio singer,,
adw40,randolph scott,,,,
adw40,jack haley,,,,
adw40,gloria stuart,,farming aunt,,
adw40,phyllis brooks,,,,
adw40,slim summerville,,,,
adw40,bojangles robinson,,,,
adw41,tyrone power,,canal builder,,
adw41,loretta young,,,,
adw41,joseph schildkraut,,,,
adw41,henry stephenson,,,,
adw41,sidney blackmer,,,,
adw41,maurice moscovitch,,,,
adw41,nigel bruce,,,,
adw41,miles mander,,,,
adw41,george zucco,,,,
adw41,leon ames,,,,
adw41,rafaela ottiano,,,,
adw41,brandon hurst,,composer,Liszt,
adw45,don ameche,,"D'Artagan, sings",,
adw45,binnie barnes,,girl,Lady DeWinter,
adw45,joseph schildkraut,,,,
adw45,lionel atwill,,,,
adw45,gloria stuart,,Milady,,
adw45,miles mander,ruler,king,,
adw52,kay kyser,,band leader,,
adw52,joan davis,,,,
adw52,mischa auer,,,,
adw60,john wayne,,sergeant,Stryker,
adw60,john agar,,"marine, raises flag",,
adw60,forrest tucker,,"private, raises flag",,
adw60,julie bishop,,prostitute,,
adw60,richard webb,,,,
adw70,ronald reagan,agent,undercover govermant agent,,
adw70,gene evans,,,,
adw70,lance fuller,,,,
adw70,anthony caruso,,,,
adw70,jack elam,,,,
adw72,yvonne decarlo,,"wife, murdered",,
adw72,raymond burr,,,,
adw72,rodolfo acosta,,,,
adw72,john qualen,,,,
adw72,anthony caruso,,terrorist,,
adw72,frank dekova,,,,
adw75,john payne,,gambler,,
adw75,ronald reagan,,shooting cowboy,,
adw75,rhonda fleming,,"night-club owner, marries gambler",,
adw75,anthony caruso,,,,
adw75,morris ankrum,,,,
adw75,leo gordon,,,,
adw75,joe devlin,,,,
adw78,virginia mayo,,"thief, disguised as missionary, stays",,
adw78,dennis morgan,,"thief, converts, stayssr",,
adw78,david farrar,,"thief, killed",,
adw78,murvyn vye,,native chief,,
adw78,lance fuller,,,,
adw78,basil ruysdael,,,,
adw80,arlene dahl,,ex-con sister,,
adw80,rhonda fleming,,dynamic sister,,
adw80,john payne,,corrupt mayor,,
adw80,kent taylor,,lover of both sisters,,
adx12,anouk aimee,,"costume designer, live-in love, estranged, killed in train wreck",Anne,
adx13,anna karina,,enigmatic woman alone at Jaques' estate,,
adx14,daniele delorme,,wife,,
adx30,mariechristine barrault,,Belgium wife,Lieve,
adx30,rutger hauer,,"husband, French nationalist, collaborator",,
adx37,fanny ardant,,fictional beautiful Swedish musician,Benvenuta,
adx37,francoise fabian,,older writer,Jeanne V.,
adz10,michael rappaport,,"nice Jewish boy, loves Nikki, puerile",Zack,
adz10,ray sharkey,,"Zack's father, insensitive",,
adz15,harvey keitel,,bogus mine operator,,
aeg25,wallace reid,,ghost buster,,
aeg25,j.farrell macdonald,,,,
aeg25,snitz edwards,,,,
aeg37,barbara stanwyck,,seductive,,
aeg37,nat pendleton,,tough,,
aeg41,bette davis,,mother goddam,,AA
aeg41,franchot tone,,,,
aeg41,margaret lindsay,,,,
aeg41,alison skipworth,,,,
aeg41,dick foran,,,,
aeg50,gracie allen,,,,
aeg50,donald mcbride,,,,
